Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT4G19660	0.558844365417502	4.81201031207222	4.09652320675159	0.000528445672132604	0.166263205500825	-0.256107965014924
AT5G63790	0.808640671628639	6.44863580030972	4.08169855684803	0.000547390590241825	0.169504543012852	-0.369800112609929
AT2G40750	1.93501867256258	1.55737282500686	4.07601681024194	0.000554829860905446	0.169504543012852	-0.195191484784809
AT5G36160	0.513357993977701	5.65689991991484	4.06901953745451	0.000564130358309943	0.169706317174478	-0.384530121307305
AT2G34660	0.495168631694352	7.80001026891721	4.0634888311454	0.000571591485739467	0.169706317174478	-0.423233958163376
AT1G08697	-1.46427106277206	1.09993847449059	-4.05671471540867	0.000580864275209591	0.170064151686364	-0.3214471095392
AT2G41460	-0.486212657275107	3.45139716030599	-4.04344733001789	0.00059946233932319	0.172195879665	-0.222890902901852
AT5G02500	-0.562213538042645	11.007963456287	-4.03993627498242	0.000604482689526092	0.172195879665	-0.445267624362717
AT1G33100	2.5794307948166	-0.0101892982695782	4.01251621222337	0.000645159179734097	0.179385296365295	-0.8889281590819
AT1G51645	-0.634884181548542	2.6792818388072	-3.99898669099073	0.000666223383098737	0.179385296365295	-0.288892947097969
AT5G17700	1.7543459528872	1.80376658584309	3.99541883743954	0.000671891452866745	0.179385296365295	-0.315230336452002
AT4G17730	-0.348770101324565	5.90267705524163	-3.99454115280309	0.000673293132163261	0.179385296365295	-0.554547814841713
AT5G48880	0.794232802377651	5.0372602597246	3.99208681206796	0.000677228240860479	0.179385296365295	-0.545963022741354
AT4G37180	0.887775614723087	4.39205151712746	3.98988428175561	0.000680779113340777	0.179385296365295	-0.431796366027069
AT5G56040	-0.245911950581311	7.06557771758344	-3.96989866796428	0.000713858821231511	0.185779554957534	-0.639492160148079
AT4G04760	1.56091583631273	0.630436634125344	3.95468823791816	0.000740102833540075	0.190260582085668	-0.67704390381508
AT4G13310	-1.12680416377276	2.37767543543192	-3.94606647350353	0.000755402883607677	0.191854129957227	-0.418998898194951
AT3G09270	0.920378120317301	6.8847855505972	3.9365731330489	0.000772613845523862	0.193889284090988	-0.712757202539581
AT4G07950	-0.509780382140766	3.14425976912648	-3.91931997362584	0.000804897519201677	0.196147172478595	-0.485812549340713
AT1G03850	1.00700430720932	6.16522652521403	3.90677833762202	0.000829203684413397	0.196147172478595	-0.770038297311539
AT5G04220	0.634284681046065	4.0443473184016	3.89682730843104	0.000849007105071979	0.196147172478595	-0.613812678321366
AT1G06760	-0.507746168795271	8.03229826803367	-3.89324536454118	0.000856249940418801	0.196147172478595	-0.813690765877768
AT3G06962	-1.32464509600202	-0.793547719690766	-3.89299166242095	0.00085676525853155	0.196147172478595	-1.10130349699901
AT5G10120	-2.88141759152778	-2.97349652099895	-3.88719249405889	0.000868628881947404	0.196147172478595	-2.20108594377271
AT1G01110	-0.91832717865238	3.23321985029326	-3.88457966695621	0.000874027257772952	0.196147172478595	-0.542684256056948
AT1G17180	1.43571059564423	4.22649560094244	3.88422688439399	0.000874758693015474	0.196147172478595	-0.597995215579647
AT1G72240	-1.08527151431449	1.77246881015957	-3.87916364049075	0.000885323713575955	0.196147172478595	-0.534727072395932
AT4G28940	0.932345482137799	5.44840597676741	3.87652071175495	0.000890888726368596	0.196147172478595	-0.805464460288855
AT3G49120	1.60317844879958	6.37780222339315	3.87386890672733	0.000896507347620045	0.196147172478595	-0.800044585850815
AT1G44830	-0.887831883187603	1.16286005222597	-3.87312143390661	0.000898097435007006	0.196147172478595	-0.606819639342595
AT4G12550	-1.27089234763382	6.97777233156012	-3.86880089324013	0.000907343491173162	0.196147172478595	-0.867742291262316
AT3G16450	0.793734356857177	8.20182755453327	3.86669717956998	0.000911879644350204	0.196147172478595	-0.875202700954869
AT4G13180	0.892167090450076	6.32164144206097	3.85873275764803	0.000929257935114253	0.197866235072813	-0.882291847819578
AT3G06350	0.266748113466957	7.07851060252053	3.85003235061328	0.000948618084698658	0.199968692254477	-0.914112667442139
AT5G10100	-0.880993327119948	4.13255592989409	-3.83570482610546	0.000981375865879963	0.201364936897777	-0.7049296251083
AT5G19130	-0.324465896948317	5.04736195885596	-3.83466082529909	0.000983806232521723	0.201364936897777	-0.854617113084232
AT3G26460	1.78273456221438	3.61195274820898	3.83462107558289	0.000983898885221584	0.201364936897777	-0.682421457876543
AT5G36140	2.08715698043515	0.0175507739921739	3.81773208414049	0.00102405901742155	0.204836357553387	-0.868666033096081
AT4G25400	1.0696094046293	2.43403782608967	3.8157387031917	0.00102890505433127	0.204836357553387	-0.667130631378234
AT3G13580	-0.525131844974153	6.85553355381916	-3.81224471155165	0.00103745409943297	0.204836357553387	-0.997603999435263
AT2G02800	0.402449968823237	6.17677086963106	3.81131971313538	0.00103972913938389	0.204836357553387	-0.984954370497079
AT3G04070	0.955773109065915	3.30916148297363	3.80684625376888	0.00105080164645118	0.205100913955472	-0.734762073833384
AT1G56170	-0.698371118047237	2.52548885879406	-3.80072080997236	0.00106615293699083	0.205498972841718	-0.704146480830251
AT3G12720	1.23707030951767	1.95422060841716	3.79672973969867	0.00107627457005457	0.205498972841718	-0.712509177225728
AT5G19440	0.519758699694024	6.73095342748743	3.78927692699156	0.00109543107646404	0.205498972841718	-1.04925362938508
AT2G29420	0.868366796155466	5.61664199161649	3.7861309532869	0.00110361847142618	0.205498972841718	-1.03027499900256
AT4G37790	0.589134005665948	5.93836216713509	3.78373006541784	0.00110990755179732	0.205498972841718	-1.04750805235067
AT4G24160	0.702418641512039	5.9545370450579	3.7827610551691	0.00111245590295851	0.205498972841718	-1.04017197160134
AT4G11600	0.550658442130477	7.37937659401824	3.77949770525441	0.00112108073419344	0.205498972841718	-1.07496671847807
AT5G51770	-0.316376286528213	4.59410735136	-3.76800993304692	0.00115197259782793	0.209341227260455	-0.960182578276282
AT5G38020	2.06668027745513	4.52356607958695	3.76005427563454	0.00117385887075836	0.210741285190563	-0.878785951620078
AT5G61440	0.742867919458698	5.35265935921989	3.75638863506522	0.00118408125475297	0.210741285190563	-1.01691539271674
AT1G67325	-0.236936280574327	5.04361613184468	-3.75380050386909	0.00119135182285059	0.210741285190563	-1.06474102496307
AT2G22250	0.334262269607659	5.7882580822454	3.74831859294891	0.00120689785761543	0.210741285190563	-1.11311200741679
AT5G23155	-1.64465235768772	-0.340241470079344	-3.74735087255649	0.00120966297476556	0.210741285190563	-1.31358341814892
AT4G13770	-1.16476356921193	7.29343635432939	-3.73677616837388	0.00124029030236093	0.211068021651865	-1.16906432209991
AT2G47800	0.601048508508178	6.62419646474555	3.73637320487473	0.00124147245508961	0.211068021651865	-1.16205312228337
AT5G54470	-1.31769614844526	2.29725769545124	-3.72915971140063	0.00126282391523934	0.211068021651865	-0.853091365346283
AT1G07040	0.36291104682966	4.95710231289095	3.72304876315773	0.00128119589074832	0.211068021651865	-1.1163206239025
AT5G56080	1.16174560792992	5.59098640594037	3.71770122420069	0.00129748951062785	0.211068021651865	-1.17175114631226
AT1G76680	1.11426091257782	7.14743511368112	3.71165335454808	0.00131616406484811	0.211068021651865	-1.22844262281165
AT4G14905	-0.459566811565761	3.97126795451157	-3.71003871591173	0.00132119452579961	0.211068021651865	-1.01012789700836
AT5G08350	0.740234502436178	4.31905388643963	3.70980012929593	0.00132193946094509	0.211068021651865	-1.06816892336786
AT1G77450	0.759384163331019	5.27565287860222	3.70944331651505	0.00132305430686497	0.211068021651865	-1.14728171696532
AT4G22210	-2.9769800392952	-1.29609508981467	-3.70111201743097	0.00134935098338678	0.211068021651865	-1.72081618092447
AT5G05390	1.71497899665415	2.83516267418989	3.69829873849369	0.00135834692269137	0.211068021651865	-1.00625359983811
AT5G23360	0.930164510749314	3.03976654935724	3.69417728980684	0.00137163310712817	0.211068021651865	-0.965346331809554
AT1G05860	-0.379522788017653	3.49172136693681	-3.69416327497049	0.00137167850474565	0.211068021651865	-1.02230668179595
AT5G36150	2.72646014796044	-2.28543289019945	3.69099492155956	0.00138197981832927	0.211068021651865	-2.04491895753631
AT1G02850	1.23401340698151	4.68188596051301	3.68431231674575	0.00140395842596659	0.211068021651865	-1.18824330513361
AT4G16140	-0.703451068065341	3.89116850747176	-3.68110360260936	0.00141463404980178	0.211068021651865	-1.0690260460081
AT4G09760	0.637581994473581	4.56653602332792	3.67640069643592	0.00143042603985787	0.211068021651865	-1.21377968984153
AT4G29230	0.588742192608402	3.8373103017278	3.67481408707923	0.00143579294137914	0.211068021651865	-1.11156317701017
AT1G70710	-0.587436463807091	6.01296612887696	-3.67260292691845	0.00144330565648691	0.211068021651865	-1.28447234524281
AT3G21890	-1.16544693606127	2.28265987379555	-3.67225501742167	0.00144449125631733	0.211068021651865	-0.964392744516779
AT2G45310	-0.501946099702646	3.88190129535802	-3.67087862675274	0.00144919113496303	0.211068021651865	-1.10347357117672
AT1G14860	0.822279524058527	4.84238470975454	3.66504237627053	0.00146928820693798	0.211068021651865	-1.194730526226
AT2G44230	0.749491673880525	5.20853431690868	3.66461868933207	0.00147075783926816	0.211068021651865	-1.29201442509481
AT1G12970	0.448514375861762	4.49633181857153	3.66429400266253	0.00147188505429191	0.211068021651865	-1.21677684775728
AT5G48000	1.52660935506669	5.37174325007285	3.66253599437007	0.00147800316549947	0.211068021651865	-1.23086512682265
AT3G52880	0.408879001331035	8.06558695058878	3.66154308566384	0.00148146971527809	0.211068021651865	-1.34126621596506
AT3G47110	-0.747836744674888	2.32086718063484	-3.65888624095801	0.00149078511210544	0.211068021651865	-1.00304965929441
AT4G21960	-0.358227736240533	10.4674787857034	-3.65857093666279	0.0014918944604425	0.211068021651865	-1.32416936469557
AT1G77230	-0.42122634752755	4.22241777929941	-3.64575969086466	0.00153766477292937	0.216093156089008	-1.20194726820836
AT1G62970	-0.449929998292387	4.47125099120663	-3.63726024234612	0.00156879246202142	0.219007583439812	-1.24811715122306
AT2G28790	-1.10059392506386	5.17328603937295	-3.627090513719	0.00160685519182796	0.222718426883273	-1.29695787803492
AT2G27820	0.356275773801202	5.73580806042111	3.62158576925136	0.00162783662707376	0.222718426883273	-1.41495737634758
AT1G58110	0.332424092159883	5.85086559585051	3.61993019636678	0.00163419956758537	0.222718426883273	-1.39614971261076
AT2G15490	1.73548086818831	4.1718089546214	3.61903884519158	0.00163763549178877	0.222718426883273	-1.22586815534417
AT1G32450	-0.601961297954023	9.58025500785838	-3.61539157475054	0.00165176913587874	0.22320059861746	-1.42990905200636
AT4G31500	0.760305642690856	8.11035749048129	3.60991895307578	0.00167320219952072	0.223287374885994	-1.45827407044089
AT5G64810	1.95628079127956	0.139423510045196	3.60551571957183	0.00169064597572467	0.223287374885994	-1.38254513507251
AT2G34340	0.889536327548205	2.68158851837097	3.6046941197155	0.00169392060338644	0.223287374885994	-1.12510338591982
AT1G07820	-0.474290246983026	6.3342506545959	-3.59611980381915	0.00172847033150102	0.223287374885994	-1.47399882648189
AT2G29400	-0.266752954253995	6.9091216096313	-3.59254143129882	0.00174309376179525	0.223287374885994	-1.49938091544803
AT3G46330	-1.42068031253462	3.16278968098675	-3.58882010398221	0.00175843071843941	0.223287374885994	-1.17723374141462
AT3G49760	-0.800985354779096	4.74534092053949	-3.58873328296852	0.00175879012253446	0.223287374885994	-1.3801488400141
AT1G28480	1.70756821813414	-0.513664706521168	3.58822510657736	0.0017608952207134	0.223287374885994	-1.37688351698311
AT2G01430	-0.604277715657406	4.36165377368622	-3.58755038425971	0.00176369406495305	0.223287374885994	-1.37681470589562
AT4G15270	-0.880661504203323	2.03425901662742	-3.58630125354274	0.00176888721108542	0.223287374885994	-1.14128745701137
AT4G27940	-0.407343803726054	3.86141689884562	-3.58176015604262	0.00178789366117188	0.223287374885994	-1.27784389366001
AT1G19960	1.46771283587722	2.38287659350976	3.58162469298892	0.00178846371205234	0.223287374885994	-1.21095039669879
AT4G15490	1.95926798207526	1.23684300418348	3.58123318335454	0.00179011225596456	0.223287374885994	-1.19222470181098
AT3G20370	0.507448341518541	7.71181056547773	3.57702375294911	0.00180793190385439	0.223916389820789	-1.53395208995553
AT2G24580	0.401902482842082	6.05996162586534	3.57503779321125	0.0018163995568954	0.223916389820789	-1.53136979502242
AT4G23670	1.21172122958943	7.68317908622635	3.57164083457687	0.00183097401068839	0.224400768286694	-1.54507033753011
AT5G16380	-0.434806464649634	3.0465574113602	-3.56204826634558	0.00187275501519847	0.226785818233966	-1.25670495920336
