Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT2G34420	-4.76353764111468	7.81301079079437	-6.60373647426119	1.65272206421006e-06	0.000373107174503875	5.23938020598813
AT3G19040	1.89129335922325	1.10891523386173	6.59740415332693	1.67558412081008e-06	0.000373107174503875	4.54499921021078
AT4G36880	-1.94465711097227	3.11320558988196	-6.59354626006473	1.68967161388503e-06	0.000373107174503875	5.27013448914759
AT3G10020	-2.06811624037386	5.99584513878812	-6.59096647573446	1.69915980798729e-06	0.000373107174503875	5.21477730737612
AT5G17300	1.78053307125746	5.73961902228641	6.58150406591874	1.73443280598056e-06	0.000376926222165673	5.20188644606056
AT5G15860	-0.942927888769577	5.39085057124541	-6.57020119725487	1.77755444305651e-06	0.000377908027909625	5.17268499678008
AT5G51590	1.20314301976966	4.31491548401055	6.568832475814	1.78285050596665e-06	0.000377908027909625	5.22424216554218
AT2G41620	0.631896641098764	5.83310925665855	6.56628967165494	1.79273258021644e-06	0.000377908027909625	5.1480107521087
AT1G64200	-0.841042769112062	6.36794944115586	-6.52059519972922	1.9802313166013e-06	0.000411855931624547	5.03512537624243
AT3G19710	2.41381768170952	7.33973255427609	6.51639422880631	1.99845077711837e-06	0.000411855931624547	5.02495428075519
AT1G49230	1.88817313791947	1.5498200610947	6.51320686983997	2.01238903972146e-06	0.000411855931624547	4.82693265814977
AT1G75990	0.634454692472123	5.56896610109867	6.50701402212842	2.03975639025431e-06	0.000413442929870777	5.02718104429092
AT1G79930	0.683232251815608	7.94844272656394	6.4810112857563	2.15890464975461e-06	0.000433425809684068	4.943815667831
AT1G75640	1.00146791604979	4.50046738064717	6.41871138856909	2.4743276486393e-06	0.000492064404087891	4.89078049028462
AT5G23575	0.92389561661554	6.70407930465922	6.40270987811052	2.56273208462732e-06	0.000504882171438727	4.77528400725746
AT5G55990	0.693316192572133	4.40196367049108	6.38527196890998	2.66277097166571e-06	0.000512574955708845	4.82388986094654
AT1G59540	1.42430660808674	3.9878019564136	6.37993658954923	2.69417326499035e-06	0.000512574955708845	4.83289574330029
AT5G03680	2.22892687595929	1.78739818993138	6.3729695961662	2.7357516925217e-06	0.000512574955708845	4.59835780833487
AT4G30960	-0.680225626529484	8.23880875287894	-6.37159457451901	2.7440351973082e-06	0.000512574955708845	4.70705241563803
AT1G60940	-0.72552942265199	6.59565550527025	-6.37115757375713	2.74667319467039e-06	0.000512574955708845	4.70646364934926
AT1G64390	1.63657279612574	6.86522589041784	6.37099188047479	2.74767409843926e-06	0.000512574955708845	4.70621465241579
AT3G07365	-4.54266474303977	-0.367880975684722	-6.3637949750041	2.79151158023025e-06	0.000516184772905734	2.82863548881079
AT3G04610	0.493730266050223	5.92879855764696	6.35017313781366	2.87645944171018e-06	0.000527267522010874	4.67295515575946
AT5G15840	3.09832664664066	0.271925145505863	6.32786432055297	3.02135229706631e-06	0.000549052641570325	3.36630662511329
AT4G09760	-1.14062462397049	4.56653602332792	-6.32067109674878	3.06965091510184e-06	0.000551192739427289	4.67027123164951
AT3G05165	-1.23198808811374	7.13359850768567	-6.31586973788968	3.10232955043054e-06	0.000551192739427289	4.58396857506505
AT1G78570	-0.810382167003448	8.57542729402722	-6.31452119704029	3.11157191612179e-06	0.000551192739427289	4.58422263306538
AT5G38300	1.62679213504973	2.34879642203589	6.3083228310199	3.1544176896492e-06	0.000554126040815043	4.63405463747666
AT1G13740	0.899134810655743	3.95708538552077	6.29672722865489	3.23620374031796e-06	0.000563794833437211	4.65332908806327
